"","date","Quantity (ounces)"
"1",2015-03-20,164
"2",2015-03-21,112
"3",2015-03-22,168
"4",2015-03-23,222
"5",2015-03-24,222
"6",2015-03-25,194
"7",2015-03-26,172
"8",2015-03-27,158
"9",2015-03-28,142
"10",2015-03-29,238
"11",2015-03-30,282
"12",2015-03-31,276
"13",2015-04-01,250
"14",2015-04-02,184
"15",2015-04-03,212
"16",2015-04-04,16
"17",2015-04-05,235
"18",2015-04-06,181
"19",2015-04-07,201
"20",2015-04-08,232
"21",2015-04-09,258
"22",2015-04-10,237
"23",2015-04-11,241
"24",2015-04-12,268
"25",2015-04-13,236
"26",2015-04-14,232
"27",2015-04-15,335
"28",2015-04-16,238
"29",2015-04-17,278
"30",2015-04-18,259
"31",2015-04-19,211
"32",2015-04-20,260
"33",2015-04-21,248
"34",2015-04-22,220
"35",2015-04-23,296
"36",2015-04-24,286
"37",2015-04-25,173
"38",2015-04-26,234
"39",2015-04-27,283
"40",2015-04-28,283
"41",2015-04-29,293
"42",2015-04-30,227
"43",2015-05-01,198
"44",2015-05-02,158
"45",2015-05-03,313
"46",2015-05-04,232
"47",2015-05-05,250
"48",2015-05-06,252
"49",2015-05-07,277
"50",2015-05-08,192
"51",2015-05-09,118
"52",2015-05-10,264
"53",2015-05-11,247
"54",2015-05-12,198
"55",2015-05-13,230
"56",2015-05-14,258
"57",2015-05-15,186
"58",2015-05-16,194
"59",2015-05-17,204
"60",2015-05-18,222
"61",2015-05-19,218
"62",2015-05-20,242
"63",2015-05-21,203
"64",2015-05-22,154
"65",2015-05-23,112
"66",2015-05-24,130
"67",2015-05-25,243
"68",2015-05-26,264
"69",2015-05-27,263
"70",2015-05-28,222
"71",2015-05-29,206
"72",2015-05-30,128
"73",2015-05-31,172
"74",2015-06-01,198
"75",2015-06-02,228
"76",2015-06-03,249
"77",2015-06-04,219
"78",2015-06-05,185
"79",2015-06-06,161
"80",2015-06-07,200
"81",2015-06-08,224
"82",2015-06-09,210
"83",2015-06-10,256
"84",2015-06-11,386
"85",2015-06-12,170
"86",2015-06-13,206
"87",2015-06-14,167
"88",2015-06-15,266
