"","date","Quantity (ounces)"
"1",2015-03-05,232
"2",2015-03-06,227
"3",2015-03-07,181
"4",2015-03-08,221
"5",2015-03-09,229
"6",2015-03-10,237
"7",2015-03-11,235
"8",2015-03-12,244
"9",2015-03-13,218
"10",2015-03-14,205
"11",2015-03-15,248
"12",2015-03-16,153
"13",2015-03-17,222
"14",2015-03-18,262
"15",2015-03-19,259
"16",2015-03-20,274
"17",2015-03-21,250
"18",2015-03-22,209
"19",2015-03-23,202
"20",2015-03-24,207
"21",2015-03-25,251
"22",2015-03-26,256
"23",2015-03-27,246
"24",2015-03-28,251
"25",2015-03-29,214
"26",2015-03-30,218
"27",2015-03-31,245
"28",2015-04-01,268
"29",2015-04-02,236
"30",2015-04-03,352
"31",2015-04-04,190
"32",2015-04-05,280
"33",2015-04-06,232
"34",2015-04-07,243
"35",2015-04-08,217
"36",2015-04-09,309
"37",2015-04-10,354
"38",2015-04-11,212
"39",2015-04-12,264
"40",2015-04-13,252
"41",2015-04-14,251
"42",2015-04-15,306
"43",2015-04-16,291
"44",2015-04-17,328
"45",2015-04-18,221
"46",2015-04-19,199
"47",2015-04-20,249
"48",2015-04-21,241
"49",2015-04-22,265
"50",2015-04-23,279
"51",2015-04-24,313
"52",2015-04-25,233
"53",2015-04-26,324
"54",2015-04-27,354
"55",2015-04-28,324
"56",2015-04-29,307
"57",2015-04-30,316
"58",2015-05-01,324
"59",2015-05-02,203
"60",2015-05-03,369
"61",2015-05-04,246
"62",2015-05-05,267
"63",2015-05-06,256
"64",2015-05-07,313
"65",2015-05-08,277
"66",2015-05-09,257
"67",2015-05-10,264
"68",2015-05-11,238
"69",2015-05-12,259
"70",2015-05-13,361
"71",2015-05-14,316
"72",2015-05-15,263
"73",2015-05-16,233
"74",2015-05-17,256
"75",2015-05-18,220
"76",2015-05-19,258
"77",2015-05-20,237
"78",2015-05-21,350
"79",2015-05-22,271
"80",2015-05-23,194
"81",2015-05-24,244
"82",2015-05-25,289
"83",2015-05-26,253
"84",2015-05-27,318
"85",2015-05-28,371
"86",2015-05-29,351
"87",2015-05-30,279
"88",2015-05-31,236
"89",2015-06-01,204
"90",2015-06-02,252
"91",2015-06-03,241
"92",2015-06-04,279
"93",2015-06-05,232
"94",2015-06-06,245
"95",2015-06-07,282
"96",2015-06-08,230
"97",2015-06-09,294
"98",2015-06-10,235
"99",2015-06-11,376
"100",2015-06-12,366
"101",2015-06-13,229
"102",2015-06-14,234
"103",2015-06-15,232
