"","date","Quantity (ounces)"
"1",2015-03-05,152
"2",2015-03-06,100
"3",2015-03-07,54
"4",2015-03-08,199
"5",2015-03-09,166
"6",2015-03-10,143
"7",2015-03-11,162
"8",2015-03-12,116
"9",2015-03-13,136
"10",2015-03-14,68
"11",2015-03-15,176
"12",2015-03-16,181
"13",2015-03-17,120
"14",2015-03-18,141
"15",2015-03-19,205
"16",2015-03-20,118
"17",2015-03-21,62
"18",2015-03-22,152
"19",2015-03-23,135
"20",2015-03-24,180
"21",2015-03-25,172
"22",2015-03-26,180
"23",2015-03-27,82
"24",2015-03-28,96
"25",2015-03-29,193
"26",2015-03-30,209
"27",2015-03-31,146
"28",2015-04-01,189
"29",2015-04-02,170
"30",2015-04-03,94
"31",2015-04-04,67
"32",2015-04-05,182
"33",2015-04-06,201
"34",2015-04-07,186
"35",2015-04-08,223
"36",2015-04-09,187
"37",2015-04-10,96
"38",2015-04-11,70
"39",2015-04-12,156
"40",2015-04-13,220
"41",2015-04-14,214
"42",2015-04-15,160
"43",2015-04-16,180
"44",2015-04-17,114
"45",2015-04-18,76
"46",2015-04-19,194
"47",2015-04-20,176
"48",2015-04-21,141
"49",2015-04-22,194
"50",2015-04-23,153
"51",2015-04-24,102
"52",2015-04-25,128
"53",2015-04-26,193
"54",2015-04-27,185
"55",2015-04-28,173
"56",2015-04-29,169
"57",2015-04-30,171
"58",2015-05-01,95
"59",2015-05-02,80
"60",2015-05-03,137
"61",2015-05-04,147
"62",2015-05-05,163
"63",2015-05-06,183
"64",2015-05-07,165
"65",2015-05-08,78
"66",2015-05-09,88
"67",2015-05-10,169
"68",2015-05-11,172
"69",2015-05-12,169
"70",2015-05-13,190
"71",2015-05-14,123
"72",2015-05-15,76
"73",2015-05-16,50
"74",2015-05-17,147
"75",2015-05-18,126
"76",2015-05-19,159
"77",2015-05-20,172
"78",2015-05-21,162
"79",2015-05-22,92
"80",2015-05-23,79
"81",2015-05-24,99
"82",2015-05-25,125
"83",2015-05-26,171
"84",2015-05-27,182
"85",2015-05-28,185
"86",2015-05-29,98
"87",2015-05-30,50
"88",2015-05-31,151
"89",2015-06-01,188
"90",2015-06-02,148
"91",2015-06-03,165
"92",2015-06-04,167
"93",2015-06-05,96
"94",2015-06-06,86
"95",2015-06-07,244
"96",2015-06-08,173
"97",2015-06-09,127
"98",2015-06-10,124
"99",2015-06-11,151
"100",2015-06-12,134
"101",2015-06-13,96
"102",2015-06-14,138
"103",2015-06-15,244
